Q2a,Q2b,Q87a,Q87b,Q87c,Q87d,Q87e,Q90a,Q90b,Q90c,Q90f
1,25,2,2,1,2,2,2,1,2,2
1,29,3,2,2,4,3,3,3,3,3
1,52,2,2,3,3,3,3,2,2,2
1,25,2,2,2,2,2,2,2,2,2
2,50,3,2,3,3,3,3,2,3,2
2,24,2,1,2,3,2,2,1,1,3
1,35,3,4,3,4,3,3,3,4,2
2,22,3,3,3,4,4,3,4,4,2
2,48,3,3,3,3,3,2,2,3,2
1,30,3,4,5,3,3,3,2,3,2
1,40,5,5,5,5,5,3,3,4,2
1,49,4,4,3,4,3,3,3,4,2
1,45,3,3,3,3,3,4,4,3,2
1,56,2,2,2,2,2,2,2,2,2
2,55,2,4,2,2,2,2,2,2,2
1,61,3,3,3,3,2,2,1,1,2
2,55,3,3,2,3,3,2,2,2,2
2,57,2,4,5,5,4,3,3,2,2
2,31,2,3,3,3,2,2,1,1,2
1,45,2,2,2,2,1,2,2,2,2
1,48,3,3,3,3,3,2,2,2,2
1,32,3,2,2,2,3,2,2,2,2
1,47,2,2,2,2,2,2,2,2,2
2,34,2,3,2,3,2,3,2,2,2
1,49,3,3,3,3,3,2,3,2,2
1,58,2,2,2,2,2,3,3,2,2
2,40,4,4,5,6,5,3,4,4,1
1,39,3,3,3,3,3,2,2,2,2
1,65,3,3,2,3,2,2,2,2,2
1,53,5,5,5,5,5,4,4,1,2
2,33,3,3,3,3,3,3,3,2,1
1,47,3,3,3,3,3,3,3,2,2
1,45,2,3,3,4,2,3,3,2,1
2,56,4,4,4,4,4,3,2,2,1
2,41,3,3,3,4,2,3,1,2,1
1,31,6,6,6,6,6,5,5,5,1
2,49,3,3,3,3,3,3,2,1,2
1,36,2,3,2,2,2,1,2,1,1
2,58,4,4,3,4,4,3,3,2,2
1,29,3,3,3,3,3,3,2,2,2
2,79,4,5,3,4,4,3,2,2,3
1,41,2,3,2,2,2,2,4,2,2
2,66,3,2,2,2,2,2,2,2,2
2,23,2,2,2,3,2,3,4,5,1
2,24,2,2,2,2,2,2,1,2,1
1,52,3,2,3,3,3,2,2,2,1
2,54,4,3,3,4,3,3,2,4,2
1,59,5,5,5,5,4,2,2,3,2
1,52,3,2,2,2,2,2,3,3,2
2,34,1,2,3,2,2,2,5,3,1
1,76,5,4,3,4,5,4,3,2,1
2,59,4,3,3,5,2,3,4,3,2
2,35,3,3,3,3,3,2,2,3,2
1,46,1,1,1,4,5,5,5,5,5
2,55,2,2,2,2,2,3,3,2,2
2,58,2,2,2,2,3,2,2,4,1
1,50,3,3,3,3,3,3,3,3,3
1,48,2,2,2,2,2,1,1,1,1
1,26,3,4,3,3,3,2,2,3,1
1,50,2,3,4,3,2,2,2,3,3
1,52,2,4,2,2,2,3,3,3,3
2,64,2,2,2,2,2,3,3,3,3
1,40,3,3,2,3,2,2,3,3,1
2,38,1,5,1,6,3,1,1,1,1
1,57,1,1,1,1,1,3,3,3,3
1,49,1,1,1,1,1,1,1,1,1
2,61,4,4,4,5,5,3,5,2,1
1,44,4,4,2,3,5,3,4,3,1
1,63,1,4,2,3,4,2,3,1,2
2,31,2,2,2,2,2,1,4,1,2
1,27,2,2,1,2,3,2,2,1,1
2,59,3,2,2,3,5,2,2,1,2
1,57,2,2,1,3,2,1,2,1,2
2,36,3,3,3,2,3,3,2,2,2
2,61,3,5,2,5,6,2,4,1,1
1,42,3,3,2,2,5,2,5,3,1
1,32,3,4,2,3,2,2,2,1,1
2,51,3,5,2,3,5,2,3,2,1
2,55,3,3,2,4,3,1,2,1,2
2,50,1,2,2,1,2,1,3,3,1
1,34,3,2,3,3,3,3,3,4,2
1,27,3,2,2,2,2,1,3,2,2
2,40,2,2,1,2,2,3,2,3,3
1,49,3,3,2,2,3,3,2,4,2
2,35,2,4,3,4,3,3,2,3,3
2,30,1,2,3,3,2,1,2,1,2
1,50,3,2,3,2,2,2,2,3,3
2,54,2,2,3,3,3,2,1,2,2
1,37,6,5,4,5,5,1,1,1,1
2,28,2,1,2,2,2,2,1,2,1
2,31,3,2,2,2,2,2,1,2,2
1,50,3,2,3,2,3,3,3,2,2
2,35,2,3,2,3,3,1,1,1,1
2,41,2,2,2,2,1,1,1,1,1
2,61,3,3,2,3,2,2,2,3,1
2,41,3,2,3,3,2,2,2,2,1
1,39,2,2,3,2,2,2,2,2,2
2,26,2,2,2,2,2,1,2,1,1
2,44,3,3,4,4,2,4,5,1,3
2,38,2,3,2,3,2,2,2,1,1
2,52,2,2,2,3,1,2,2,1,1
2,46,1,1,3,3,2,2,3,1,2
2,36,3,3,2,2,3,2,3,3,2
2,63,2,3,2,2,2,1,1,2,1
1,65,4,4,3,4,3,2,2,2,2
1,60,4,2,2,2,2,2,1,1,2
1,49,2,2,2,2,2,2,2,1,2
2,35,1,2,1,1,1,1,2,2,1
1,47,2,2,2,2,2,2,2,2,2
1,43,2,2,2,2,2,2,1,2,2
1,41,1,1,1,1,4,2,3,2,2
2,36,1,1,1,1,1,1,2,1,-999
2,57,2,2,2,2,2,1,1,1,2
1,67,3,3,2,2,3,2,1,1,1
2,45,5,5,5,5,2,3,3,2,2
1,51,3,3,2,2,2,2,2,2,2
2,45,2,2,3,3,2,2,2,2,3
1,51,5,5,5,5,5,3,3,3,3
1,42,3,2,2,2,2,2,2,2,2
2,54,3,4,4,4,4,3,3,2,2
1,27,2,2,2,2,2,2,2,2,3
2,47,6,4,4,2,2,2,2,2,2
1,50,3,4,3,4,2,2,2,3,2
2,40,3,2,2,2,2,2,2,2,2
2,55,3,3,3,2,3,3,3,3,3
1,61,2,2,2,3,1,2,2,2,2
1,58,3,3,3,3,3,2,2,3,2
1,60,2,2,2,2,2,2,2,2,2
2,46,3,5,3,3,4,2,2,3,2
2,52,2,2,3,3,2,2,2,3,2
1,55,5,4,3,3,4,3,2,2,2
1,54,3,2,3,2,2,3,3,3,3
1,-999,2,3,2,3,2,3,2,2,2
1,48,2,3,3,3,2,2,2,2,2
1,54,3,3,3,3,3,2,1,1,2
1,37,2,2,6,2,2,1,1,3,1
2,32,3,1,1,2,1,2,1,2,1
2,38,5,3,3,5,5,3,3,3,2
2,55,2,3,2,3,3,2,2,3,2
1,47,2,3,2,2,2,2,2,3,2
1,35,3,3,3,3,3,2,2,2,2
1,46,1,4,1,1,1,1,2,2,2
2,52,2,2,2,2,2,2,2,2,2
1,56,3,4,5,4,3,3,3,2,1
2,53,2,3,2,2,2,2,2,2,2
1,49,5,5,5,5,5,2,1,2,2
2,47,1,2,1,2,2,2,2,2,2
2,57,3,2,1,2,2,2,2,2,1
2,54,3,3,3,3,3,5,1,1,1
2,48,2,3,1,2,3,2,3,2,3
1,48,2,2,2,2,2,2,2,2,2
1,78,5,5,5,5,5,3,2,3,2
2,60,2,2,3,3,2,2,3,2,2
2,54,3,4,4,5,3,2,1,2,2
1,37,2,2,2,5,2,2,2,3,2
2,24,3,4,2,3,3,2,1,2,2
2,39,4,3,3,3,3,2,2,3,2
2,42,3,5,3,4,2,2,1,1,1
2,43,3,5,3,5,3,4,2,3,2
1,34,3,3,3,3,3,3,2,3,2
2,40,5,5,5,5,5,4,3,5,1
2,30,2,3,2,4,3,4,2,3,1
1,45,3,3,2,3,3,2,2,3,2
1,45,4,5,4,5,4,3,3,3,2
2,41,3,3,3,3,2,4,3,4,3
2,38,3,3,3,3,3,2,3,3,2
2,40,3,3,2,2,3,3,3,3,2
2,34,5,6,5,5,4,2,1,2,1
1,65,2,3,2,2,2,2,1,1,1
1,25,2,4,2,2,1,2,2,2,2
2,56,2,2,2,2,1,2,1,2,2
2,40,2,3,3,3,2,2,3,4,2
2,62,5,5,1,1,2,1,1,2,1
2,55,4,6,5,6,1,2,1,2,1
1,34,2,2,2,2,1,1,2,1,1
2,29,6,6,6,6,1,4,4,1,1
2,56,3,2,2,1,3,2,4,2,1
2,35,2,2,2,2,2,2,2,5,2
1,22,2,2,2,2,2,1,3,2,1
1,57,5,3,6,6,6,4,3,3,1
1,56,3,3,3,2,3,2,2,1,2
2,51,1,2,2,2,2,1,1,1,2
2,59,2,5,4,5,4,2,2,2,1
2,46,1,1,1,1,4,1,1,1,1
2,38,3,2,2,2,3,1,1,1,1
2,62,2,5,1,5,2,2,1,3,1
2,45,5,5,4,5,3,3,1,3,2
1,39,3,3,2,6,2,2,1,3,1
1,45,1,1,1,1,1,1,1,2,1
1,62,2,4,3,3,2,3,1,2,1
2,-999,4,4,5,5,3,2,2,3,2
2,48,3,5,5,4,3,3,2,3,2
1,32,3,4,2,3,2,3,3,4,2
1,42,5,5,4,5,4,4,3,5,2
1,50,5,5,5,6,5,4,1,2,2
2,44,3,4,4,4,2,3,1,2,2
1,43,5,5,5,6,6,4,3,4,3
1,35,3,5,4,4,4,3,3,3,3
2,37,4,4,4,5,2,3,3,2,2
1,55,3,3,4,3,1,2,1,1,1
1,32,3,3,3,3,3,2,2,2,2
2,51,2,2,2,2,2,2,2,2,2
1,24,2,6,2,6,2,2,2,2,2
1,49,5,5,5,5,5,3,3,3,2
2,36,4,4,4,4,4,3,2,5,1
2,39,3,3,3,3,3,3,3,3,3
1,27,2,2,2,2,2,2,2,3,2
2,26,3,3,3,3,3,2,2,2,2
1,42,4,4,4,4,4,4,4,4,4
1,44,1,2,1,1,1,1,1,1,1
2,37,2,6,1,5,1,2,1,3,1
2,48,5,5,5,5,1,1,3,1,1
1,41,1,6,1,1,1,1,5,4,1
2,41,1,1,1,1,1,1,1,1,1
2,51,1,1,2,3,1,1,1,2,1
1,41,1,5,5,1,2,1,1,1,1
2,61,1,1,1,1,1,1,1,1,1
2,61,2,2,2,2,2,2,3,1,1
2,21,2,3,2,2,2,2,4,2,2
1,40,3,3,2,2,2,2,1,1,1
2,47,4,3,2,2,3,2,3,2,2
1,25,2,2,2,2,3,1,3,2,1
1,65,2,3,2,2,2,1,1,1,1
2,62,3,3,2,3,3,2,2,2,2
1,40,3,2,3,2,2,2,2,2,1
2,53,4,3,3,3,2,1,2,2,-999
1,33,3,2,2,2,2,2,2,2,1
2,59,3,5,3,5,3,2,3,1,2
2,29,3,4,2,3,4,1,2,1,1
2,63,3,3,3,3,3,1,2,2,1
1,32,3,3,2,2,2,1,2,1,1
2,37,5,6,6,6,4,3,5,3,3
2,62,2,4,3,4,2,2,2,1,1
2,61,2,2,3,5,1,2,2,1,2
2,38,4,5,4,5,3,2,4,3,3
1,67,4,4,4,4,4,3,4,2,2
1,34,1,1,1,2,2,2,2,1,1
1,47,1,4,2,4,4,2,3,2,1
2,79,2,2,2,4,3,2,2,2,2
1,45,2,3,2,3,5,3,3,4,2
2,46,1,1,1,1,1,1,1,2,1
2,61,5,5,5,5,5,2,2,1,2
1,65,4,4,4,3,4,3,3,4,2
2,30,4,5,3,3,4,2,3,3,2
2,53,3,3,4,4,3,2,2,3,2
1,45,2,2,2,2,2,2,1,4,2
2,39,3,3,2,2,3,2,2,2,2
2,55,5,6,5,2,2,2,3,3,2
2,50,3,3,3,3,3,2,3,3,3
2,56,1,1,1,1,1,1,1,4,2
1,45,1,2,2,3,1,1,1,1,1
2,52,2,2,2,2,2,1,1,1,1
1,75,2,1,1,2,2,1,1,1,1
2,43,2,1,2,1,1,1,1,3,1
2,53,2,2,2,2,2,2,3,1,1
1,76,2,1,2,2,2,1,1,1,1
2,36,1,2,1,2,1,1,1,1,1
1,74,2,2,2,2,2,2,2,2,2
1,53,2,2,3,2,3,2,2,1,1
1,44,3,3,1,3,1,2,4,1,1
2,53,2,1,2,2,2,1,1,1,1
2,50,3,4,3,5,1,2,2,1,1
2,55,2,1,3,1,2,2,2,1,2
1,65,1,5,3,5,1,1,1,1,1
2,49,2,3,2,3,3,2,2,2,2
1,60,2,2,2,3,1,1,2,1,2
2,39,2,2,2,2,2,2,2,2,2
1,52,3,3,3,3,3,3,3,3,2
1,55,2,2,2,2,2,1,1,1,1
2,32,3,3,3,2,2,2,2,2,2
2,60,3,2,3,3,2,2,1,1,1
1,61,2,2,2,2,2,2,1,1,1
2,45,2,2,2,2,2,2,2,1,2
2,55,2,2,2,3,1,2,1,1,1
2,51,3,2,2,2,2,1,1,1,1
1,64,1,1,1,1,1,2,1,1,1
2,61,3,3,3,3,3,2,2,2,1
2,45,2,2,2,2,2,1,1,2,1
1,43,3,2,4,3,2,2,2,3,2
2,39,3,3,3,3,3,1,1,2,1
1,39,4,1,3,1,3,2,5,3,1
1,50,4,4,3,4,4,3,3,3,2
2,57,5,5,5,5,3,2,2,3,1
1,52,4,4,2,4,1,2,1,2,2
2,37,4,4,3,3,4,5,5,4,2
2,50,4,4,3,3,4,2,4,2,1
2,51,3,3,3,3,4,2,2,3,1
2,48,4,3,3,4,3,2,3,3,2
2,38,2,4,2,2,3,3,3,1,2
2,53,5,4,4,4,5,3,4,1,1
2,39,4,3,3,3,2,2,2,2,2
2,46,4,3,5,5,4,2,2,2,2
1,32,2,6,4,4,3,2,2,2,2
2,28,2,6,1,3,1,2,2,1,1
1,69,5,1,5,5,4,4,4,2,2
1,68,4,1,2,-999,2,-999,4,2,2
2,54,2,5,2,2,5,1,5,1,1
1,54,3,2,3,2,4,3,4,2,1
2,41,3,3,2,2,3,2,3,1,2
2,49,2,2,2,3,3,2,3,1,1
1,41,4,4,4,4,5,3,2,3,2
1,57,4,4,4,4,4,3,3,2,2
1,47,3,4,2,4,4,2,2,1,2
1,41,2,3,2,3,2,1,1,2,2
2,30,3,4,3,4,3,3,3,3,2
1,24,2,3,2,2,3,3,3,3,2
1,47,4,4,4,4,3,3,5,1,2
2,56,2,3,3,3,3,2,3,3,2
2,37,1,6,2,4,1,3,1,2,1
1,45,5,5,5,5,5,4,3,3,2
2,41,1,3,2,2,1,1,1,1,2
2,28,3,3,3,4,2,2,3,2,1
2,50,2,2,2,5,5,2,2,2,2
2,41,5,5,5,6,5,3,2,2,1
1,50,3,3,3,3,3,2,2,2,2
1,60,3,3,2,2,2,3,3,2,3
1,34,3,3,3,3,3,2,2,2,2
2,56,4,4,4,4,4,3,3,3,3
1,45,2,2,2,2,2,2,2,2,2
1,41,3,3,3,3,3,2,2,2,2
1,37,2,2,2,2,2,2,2,2,2
1,30,2,2,2,2,2,2,2,2,2
2,46,2,2,2,2,2,2,2,2,2
1,65,2,2,2,2,3,2,2,2,2
2,38,3,3,3,3,3,2,2,2,2
2,46,3,2,4,3,3,2,1,2,1
1,70,2,2,2,2,2,2,2,2,2
1,50,3,3,3,3,3,1,2,1,1
2,39,2,6,2,3,1,1,1,2,1
1,39,2,2,2,5,2,2,1,2,2
2,30,3,5,3,4,2,2,2,2,1
2,52,2,3,1,2,1,1,2,2,1
1,55,2,5,4,5,1,2,3,2,2
2,26,2,2,1,2,2,2,2,2,2
2,57,3,4,3,3,2,3,3,3,-999
1,54,3,3,3,3,2,3,2,2,1
2,55,2,2,2,2,4,2,3,2,3
2,52,3,2,2,3,2,2,2,3,2
1,49,6,5,5,5,3,2,3,3,3
2,54,3,4,2,5,2,2,3,1,2
2,50,5,4,5,5,4,3,3,3,2
1,58,3,3,3,3,3,1,2,1,1
1,50,4,1,3,3,2,2,3,1,1
1,62,3,3,3,3,4,2,3,3,2
1,53,2,4,3,3,4,3,3,3,2
1,58,2,2,2,5,2,2,1,4,1
2,63,2,2,2,2,1,2,2,2,1
1,40,2,2,4,4,4,2,2,1,2
2,29,2,2,2,2,1,2,2,3,1
2,55,1,1,1,2,1,2,2,2,1
2,38,5,5,5,5,5,3,3,2,3
2,43,1,1,2,2,1,2,2,3,2
1,46,3,3,3,3,3,2,2,2,2
2,53,3,3,3,3,3,2,2,2,2
1,52,3,3,3,3,5,2,2,2,2
2,40,2,3,2,2,2,2,2,2,1
2,36,2,3,2,3,2,2,2,1,2
1,70,3,2,2,2,2,2,2,2,2
1,45,5,4,4,4,2,4,2,2,1
2,52,5,5,6,6,6,4,5,2,2
2,46,5,5,5,6,1,3,3,5,1
1,44,5,5,5,5,5,3,2,2,2
2,43,6,6,6,6,6,2,4,2,1
2,51,6,6,6,6,6,5,3,2,2
1,49,5,6,5,6,6,4,4,5,1
1,53,2,1,1,2,2,2,1,1,1
1,47,4,6,6,6,3,5,5,3,1
2,31,3,3,3,3,3,3,3,2,3
1,43,5,5,5,5,5,4,3,4,1
1,42,6,6,5,3,1,3,1,1,2
1,52,6,6,6,6,6,5,5,5,5
2,40,3,3,3,4,3,4,4,4,4
1,22,1,2,2,1,2,3,2,2,2
1,18,3,1,1,1,3,3,3,2,3
1,38,1,1,1,1,1,2,2,2,2
2,52,5,5,5,5,5,1,1,1,1
1,60,4,4,3,5,4,3,3,4,4
2,38,3,3,3,3,3,3,3,3,2
1,19,3,3,3,3,3,2,2,2,2
2,37,5,5,5,5,5,4,3,3,3
2,45,1,4,2,3,3,3,4,3,3
2,37,2,2,1,2,1,1,1,1,1
1,35,4,3,1,2,4,3,4,4,1
1,52,3,4,3,4,2,2,2,2,1
2,59,3,3,3,2,3,3,3,4,2
1,27,2,2,2,2,2,2,2,2,1
1,51,3,3,3,3,4,2,2,3,1
1,56,4,3,3,4,3,2,2,3,1
2,61,2,1,2,1,2,1,2,3,1
2,33,2,2,2,2,3,2,2,3,1
1,22,3,3,4,4,1,3,2,4,3
2,40,2,2,2,2,2,2,4,3,2
1,33,1,1,1,1,1,2,1,3,1
2,36,3,3,2,2,2,2,3,3,1
1,52,6,4,4,4,4,4,4,3,2
2,67,4,5,3,5,2,2,2,1,1
1,58,2,1,1,1,1,1,3,3,1
1,55,1,3,2,2,2,2,3,2,2
1,49,2,2,2,2,2,1,2,1,2
2,45,3,4,3,2,5,3,3,2,2
2,39,2,3,3,2,1,2,1,1,2
2,55,3,4,2,1,2,1,1,1,1
1,38,2,2,2,2,2,2,2,2,2
2,41,4,6,5,6,5,3,3,2,2
2,37,5,5,5,5,1,4,3,3,2
1,39,3,3,3,4,4,2,2,3,2
2,42,3,4,3,4,1,2,1,1,2
1,25,5,5,2,3,2,2,2,2,2
1,60,4,4,1,4,5,2,2,1,1
1,39,4,4,4,4,3,3,4,3,2
2,57,2,2,2,2,1,2,2,2,2
1,60,2,2,2,2,2,1,1,1,1
1,47,3,5,3,2,2,2,2,2,1
1,51,5,2,2,5,2,2,2,1,2
1,60,1,1,1,5,5,2,1,1,2
2,31,2,2,2,2,2,2,2,2,1
1,57,2,2,2,2,1,2,2,2,2
1,62,5,4,4,5,5,2,3,3,2
1,47,2,1,1,5,1,2,2,4,1
2,57,2,1,2,2,3,2,2,2,1
1,60,5,4,4,5,5,2,3,2,1
2,29,1,1,1,1,1,2,1,2,1
1,50,2,2,3,2,2,2,2,2,1
2,30,1,1,1,1,1,1,3,2,1
1,38,2,3,3,2,2,2,3,2,2
2,39,2,2,2,4,2,2,3,3,2
1,44,1,1,1,1,1,2,2,2,2
2,40,1,1,1,1,1,2,1,1,1
2,27,3,3,4,6,3,3,1,1,1
2,26,1,1,2,2,1,1,3,1,1
1,44,2,2,2,2,2,2,4,1,2
1,32,4,3,5,4,2,3,3,4,1
2,35,2,2,2,2,2,2,2,2,2
1,33,1,1,1,1,1,1,3,2,1
2,35,2,2,2,2,2,2,2,3,2
1,29,3,1,2,3,3,2,3,2,2
1,43,3,1,3,2,3,2,2,2,2
1,66,4,1,4,3,3,2,3,3,2
1,63,4,5,4,5,5,3,2,3,2
1,60,5,5,4,5,5,3,3,2,2
2,59,3,3,4,3,3,2,2,3,2
1,44,3,3,2,2,2,2,2,2,2
2,51,3,3,2,3,2,2,2,2,2
1,44,3,3,3,3,5,2,3,2,2
2,50,4,1,4,4,5,4,5,3,1
1,42,2,2,2,2,2,1,1,2,2
2,41,3,3,3,3,4,2,2,2,1
1,28,4,4,4,4,4,4,4,3,2
1,42,2,3,3,2,2,2,3,3,1
2,35,1,1,1,1,1,2,3,3,2
1,38,2,2,2,2,2,2,4,4,2
2,59,4,2,3,5,4,2,4,4,1
2,45,2,2,2,2,2,2,4,3,1
2,42,3,3,3,3,3,4,4,3,1
1,61,2,2,2,2,2,2,1,2,1
2,48,-999,2,2,3,2,2,4,2,2
2,55,3,2,3,2,2,1,1,1,1
1,49,3,3,3,3,3,2,2,2,2
2,46,4,4,3,4,3,3,4,4,4
1,50,2,2,2,2,1,2,2,2,2
2,48,3,2,2,5,1,1,1,1,1
2,50,3,5,2,4,2,2,2,2,2
2,52,5,5,5,5,1,2,1,1,1
2,48,3,5,3,4,3,2,2,2,2
2,61,3,2,5,5,2,4,4,2,1
2,62,5,5,6,5,5,3,3,2,1
1,39,2,2,2,5,2,2,1,2,1
2,53,4,2,2,3,2,2,2,2,1
1,43,5,5,2,4,3,2,2,2,2
1,53,4,5,5,5,3,2,2,1,2
2,52,5,6,6,6,5,2,3,3,2
1,76,5,5,5,5,1,2,1,1,1
1,61,4,4,5,5,5,3,3,3,2
2,58,2,2,2,2,2,2,2,3,2
1,57,4,4,4,5,5,3,3,2,2
1,40,3,2,3,2,3,2,2,2,2
1,48,5,6,5,5,6,4,3,3,2
2,57,4,3,3,3,4,3,3,3,2
1,51,3,3,4,4,3,3,2,2,2
1,22,2,3,2,3,2,3,3,3,2
1,58,2,3,3,3,3,3,3,3,2
1,48,3,4,3,3,5,3,2,2,2
1,38,3,3,3,3,4,3,2,2,2
2,43,2,3,2,2,4,2,3,3,2
1,57,6,5,6,6,5,4,3,3,2
1,48,3,3,3,3,4,3,3,3,2
1,56,1,1,1,1,1,2,2,1,2
2,49,2,5,5,5,2,2,1,1,1
2,48,3,3,3,2,2,1,1,2,1
1,27,2,3,2,3,2,2,2,2,2
2,46,1,1,1,2,1,1,2,2,1
2,22,3,4,3,3,2,2,2,2,2
2,27,5,6,5,6,1,2,2,2,1
1,28,3,3,3,4,1,2,2,2,2
1,51,3,3,3,3,2,2,2,3,2
1,29,2,3,2,3,1,2,4,1,2
1,33,5,4,2,5,2,2,2,2,2
1,43,2,3,2,1,2,2,2,1,2
2,56,3,3,3,4,3,3,3,2,2
1,51,6,6,6,6,6,5,5,5,5
1,39,4,3,3,4,3,3,3,3,3
1,50,3,3,4,4,4,2,2,2,4
1,51,3,4,4,3,3,3,4,3,3
1,45,3,3,3,3,3,5,5,5,5
1,54,3,3,3,3,3,5,3,5,3
1,52,2,2,2,2,2,2,2,2,1
1,51,6,6,6,6,6,5,5,5,5
1,41,4,4,4,4,3,3,3,5,3
1,41,6,6,6,6,6,2,2,3,3
1,44,4,4,4,4,3,2,2,2,2
1,49,6,6,6,6,6,3,3,3,2
1,44,3,3,3,3,3,2,2,2,2
1,48,3,3,3,3,3,3,2,4,4
1,42,4,4,4,5,5,3,4,3,4
1,34,3,2,2,3,2,2,3,3,3
1,45,2,5,2,2,1,3,2,2,1
2,58,5,2,5,5,1,4,4,2,1
2,61,2,3,2,2,1,2,4,2,2
2,42,1,5,1,1,5,1,1,1,1
2,52,3,2,5,5,1,4,3,1,2
1,29,2,5,2,2,1,2,1,1,2
1,56,3,2,3,5,1,3,2,1,2
1,51,2,3,2,3,1,2,1,2,2
1,50,5,5,5,2,1,-999,2,1,4
2,59,5,4,5,2,1,3,5,1,-999
2,49,2,1,5,5,1,2,3,1,1
1,46,5,6,2,2,1,-999,1,2,1
2,42,4,3,3,3,1,2,1,1,1
1,55,2,2,2,2,2,2,2,2,2
1,55,2,2,2,2,2,3,2,2,1
2,47,2,2,3,3,3,2,4,-999,1
1,54,3,3,3,3,2,1,1,2,1
2,59,5,5,5,5,5,3,3,1,1
2,57,5,4,3,3,2,2,3,3,2
2,46,2,2,2,2,2,1,1,1,1
2,50,2,2,2,2,2,1,1,1,1
1,61,3,3,3,3,3,2,4,2,1
1,28,1,1,1,1,1,1,2,2,1
2,56,3,2,2,2,2,2,3,2,1
1,56,2,2,2,2,2,1,1,1,1
1,55,4,4,3,4,4,3,3,4,4
2,49,3,3,3,3,3,2,2,2,2
2,39,2,2,2,1,2,2,2,3,2
1,39,2,3,3,3,3,2,4,4,1
2,54,3,3,3,3,3,2,2,1,2
2,41,1,2,1,2,2,2,2,3,2
1,32,3,3,3,3,2,2,3,-999,1
1,53,3,4,3,3,4,3,3,3,1
2,38,1,1,2,2,2,3,-999,5,-999
2,61,1,2,2,2,2,2,1,4,2
1,36,2,2,2,2,3,3,3,4,2
2,39,2,3,2,2,3,2,2,3,2
1,30,1,2,2,2,1,3,5,3,3
2,53,3,2,2,3,2,2,2,3,1
1,34,3,2,3,1,2,2,2,1,1
1,41,3,4,5,5,1,2,3,2,2
1,37,3,4,5,5,5,4,3,1,2
1,40,3,3,4,4,4,4,2,3,1
2,51,5,5,5,4,2,3,2,1,1
2,35,2,5,5,6,5,3,1,3,1
2,42,3,5,4,5,3,5,3,4,3
2,50,2,4,5,6,2,3,3,2,1
2,33,4,5,3,5,2,3,2,2,1
1,47,2,2,2,2,1,2,3,5,1
1,43,3,3,5,5,4,3,1,3,1
2,40,1,1,1,1,1,1,1,1,1
2,43,2,3,2,2,2,2,2,2,2
2,34,2,2,3,4,3,2,2,2,2
1,50,3,3,4,4,4,3,2,3,1
1,51,2,2,2,2,2,2,2,2,2
2,44,1,1,1,1,1,1,2,1,2
2,49,2,3,2,2,2,2,2,2,2
2,43,4,4,4,4,4,3,4,3,2
1,59,2,2,3,5,2,2,2,2,1
2,47,4,6,6,6,4,5,5,5,2
2,52,3,4,3,4,2,2,2,1,1
1,37,4,4,4,4,4,4,4,4,2
2,56,3,3,3,3,3,2,2,2,2
1,51,1,6,6,6,1,3,4,4,2
1,35,3,3,3,3,3,5,4,5,5
1,35,3,3,3,3,3,2,2,2,2
2,46,3,3,3,3,2,1,1,1,1
1,43,2,3,2,3,2,2,2,3,2
1,37,2,2,2,2,2,3,4,3,2
1,42,2,3,3,2,3,2,2,1,2
2,54,3,3,3,3,2,3,3,4,1
1,55,2,1,1,2,1,2,3,2,1
1,47,3,3,3,3,3,2,2,2,2
1,50,2,2,2,2,2,2,2,3,2
2,46,2,2,2,2,2,2,2,3,1
2,31,3,2,3,4,2,2,2,2,1
2,23,2,2,2,2,2,2,3,2,2
2,52,2,2,2,2,2,1,1,1,1
1,50,3,3,3,3,3,2,1,2,1
2,19,2,3,2,3,1,2,3,3,2
1,42,2,3,2,2,2,2,2,2,1
2,44,3,3,2,3,3,2,3,2,2
1,56,2,2,2,2,2,2,2,2,2
1,53,2,2,2,2,2,2,2,3,1
1,59,3,2,2,2,2,2,3,3,2
1,55,2,2,2,3,2,2,2,3,2
1,36,1,2,1,2,1,2,4,1,1
1,65,2,2,2,2,3,2,2,2,1
1,44,4,4,3,3,3,3,3,3,2
2,36,3,3,2,2,3,2,2,2,2
2,48,1,1,1,2,1,2,1,1,1
2,68,2,1,2,2,1,2,2,1,2
2,39,4,4,3,3,4,3,3,3,2
2,68,3,2,4,3,3,3,2,2,1
2,50,5,5,1,3,1,2,2,2,2
2,41,3,3,3,3,4,3,3,3,2
2,53,3,5,5,5,1,3,3,2,2
2,58,2,1,3,5,1,3,4,2,3
2,44,3,2,2,2,3,2,2,2,2
1,42,4,4,3,3,3,2,2,2,2
2,50,2,1,2,2,2,2,2,1,1
1,44,3,2,2,3,3,2,2,2,2
2,43,1,1,1,1,1,1,1,1,1
1,43,2,3,2,2,2,1,1,1,1
2,55,3,3,3,3,2,2,2,2,2
2,49,3,3,3,3,3,2,2,2,2
2,47,2,3,2,3,1,2,2,2,2
1,45,6,6,6,6,6,2,2,-999,2
1,49,2,2,1,2,2,2,2,2,1
2,50,2,2,2,2,2,1,2,1,1
2,49,3,2,3,3,2,2,3,2,2
1,22,1,1,1,1,1,1,1,1,1
1,37,2,2,2,2,2,1,1,2,1
1,48,1,1,1,1,1,1,1,1,1
1,62,3,3,3,3,3,1,1,1,1
2,54,3,2,2,2,4,2,1,1,2
1,57,3,3,3,3,3,1,1,1,1
1,58,2,2,2,2,2,2,1,2,2
